Host,Address,Transport,Port,Service,Component,Version
federalist.18f.gov,52.85.255.30,tcp,80,http,amazon/cloudfront,
federalist.18f.gov,52.85.255.30,tcp,443,http,amazon/cloudfront,
federalist.18f.gov,52.85.255.104,tcp,80,http,amazon/cloudfront,
federalist.18f.gov,52.85.255.104,tcp,443,http,amazon/cloudfront,
federalist.18f.gov,52.85.255.200,tcp,80,http,amazon/cloudfront,
federalist.18f.gov,52.85.255.200,tcp,443,http,amazon/cloudfront,
federalist.18f.gov,52.85.255.248,tcp,80,http,amazon/cloudfront,
federalist.18f.gov,52.85.255.248,tcp,443,http,amazon/cloudfront,
federalist.18f.gov,2600:9000:2047:3e00:a:a2ac:dbc0:93a1,tcp,80,http,amazon/cloudfront,
federalist.18f.gov,2600:9000:2047:3e00:a:a2ac:dbc0:93a1,tcp,443,http,amazon/cloudfront,
federalist.18f.gov,2600:9000:2047:6a00:a:a2ac:dbc0:93a1,tcp,80,http,amazon/cloudfront,
federalist.18f.gov,2600:9000:2047:6a00:a:a2ac:dbc0:93a1,tcp,443,http,amazon/cloudfront,
federalist.18f.gov,2600:9000:2047:7a00:a:a2ac:dbc0:93a1,tcp,80,http,amazon/cloudfront,
federalist.18f.gov,2600:9000:2047:7a00:a:a2ac:dbc0:93a1,tcp,443,http,amazon/cloudfront,
federalist.18f.gov,2600:9000:2047:3200:a:a2ac:dbc0:93a1,tcp,80,http,amazon/cloudfront,
federalist.18f.gov,2600:9000:2047:3200:a:a2ac:dbc0:93a1,tcp,443,http,amazon/cloudfront,
federalist.18f.gov,2600:9000:2047:4600:a:a2ac:dbc0:93a1,tcp,80,http,amazon/cloudfront,
federalist.18f.gov,2600:9000:2047:4600:a:a2ac:dbc0:93a1,tcp,443,http,amazon/cloudfront,
federalist.18f.gov,2600:9000:2047:9800:a:a2ac:dbc0:93a1,tcp,80,http,amazon/cloudfront,
federalist.18f.gov,2600:9000:2047:9800:a:a2ac:dbc0:93a1,tcp,443,http,amazon/cloudfront,
federalist.18f.gov,2600:9000:2047:a600:a:a2ac:dbc0:93a1,tcp,80,http,amazon/cloudfront,
federalist.18f.gov,2600:9000:2047:a600:a:a2ac:dbc0:93a1,tcp,443,http,amazon/cloudfront,
federalist.18f.gov,2600:9000:2047:ba00:a:a2ac:dbc0:93a1,tcp,80,http,amazon/cloudfront,
federalist.18f.gov,2600:9000:2047:ba00:a:a2ac:dbc0:93a1,tcp,443,http,amazon/cloudfront,
federation.data.gov,34.193.244.109,tcp,443,https,amazon/s3,
idp.fr.cloud.gov,52.61.25.149,tcp,443,http,amazon/awselb,2.0
idp.fr.cloud.gov,52.61.90.240,tcp,443,http,amazon/awselb,2.0
idp.fr.cloud.gov,2600:1f12:18a:7d00:6dff:8e50:42b5:f651,tcp,443,http,amazon/awselb,2.0
idp.fr.cloud.gov,2600:1f12:18a:7d01:c78d:8128:a13d:2ca1,tcp,443,http,amazon/awselb,2.0
inventory.data.gov,34.193.244.109,tcp,443,https,apache/apache,
login.fr.cloud.gov,52.61.55.156,tcp,443,http,amazon/awselb,2.0
login.fr.cloud.gov,160.1.106.112,tcp,443,http,amazon/awselb,2.0
login.fr.cloud.gov,2600:1f12:18a:7d00:d6eb:e5b0:33f6:ea79,tcp,443,http,amazon/awselb,2.0
login.fr.cloud.gov,2600:1f12:18a:7d01:5dfa:76c7:1a0d:71ba,tcp,443,http,amazon/awselb,2.0
login.gov,52.85.255.44,tcp,80,http,amazon/cloudfront,
login.gov,52.85.255.44,tcp,443,http,amazon/cloudfront,
login.gov,52.85.255.84,tcp,80,http,amazon/cloudfront,
login.gov,52.85.255.84,tcp,443,http,amazon/cloudfront,
login.gov,52.85.255.123,tcp,80,http,amazon/cloudfront,
login.gov,52.85.255.123,tcp,443,http,amazon/cloudfront,
login.gov,52.85.255.223,tcp,80,http,amazon/cloudfront,
login.gov,52.85.255.223,tcp,443,http,amazon/cloudfront,
logs-platform.fr.cloud.gov,52.61.25.149,tcp,443,http,amazon/awselb,2.0
logs-platform.fr.cloud.gov,52.61.90.240,tcp,443,http,amazon/awselb,2.0
logs-platform.fr.cloud.gov,2600:1f12:18a:7d00:6dff:8e50:42b5:f651,tcp,443,http,amazon/awselb,2.0
logs-platform.fr.cloud.gov,2600:1f12:18a:7d01:c78d:8128:a13d:2ca1,tcp,443,http,amazon/awselb,2.0
logs.fr.cloud.gov,52.61.55.156,tcp,443,http,amazon/awselb,2.0
logs.fr.cloud.gov,160.1.106.112,tcp,443,http,amazon/awselb,2.0
logs.fr.cloud.gov,2600:1f12:18a:7d00:d6eb:e5b0:33f6:ea79,tcp,443,http,amazon/awselb,2.0
logs.fr.cloud.gov,2600:1f12:18a:7d01:5dfa:76c7:1a0d:71ba,tcp,443,http,amazon/awselb,2.0
sdg.data.gov,34.193.244.109,tcp,443,https,amazon/s3,
static.data.gov,34.193.244.109,tcp,443,https,apache/apache,
vote.gov,99.86.115.23,tcp,80,http,amazon/cloudfront,
vote.gov,99.86.115.23,tcp,443,http,amazon/cloudfront,
vote.gov,99.86.115.64,tcp,80,http,amazon/cloudfront,
vote.gov,99.86.115.64,tcp,443,http,amazon/cloudfront,
vote.gov,99.86.115.71,tcp,80,http,amazon/cloudfront,
vote.gov,99.86.115.71,tcp,443,http,amazon/cloudfront,
vote.gov,99.86.115.75,tcp,80,http,amazon/cloudfront,
vote.gov,99.86.115.75,tcp,443,http,amazon/cloudfront,
www.data.gov,52.222.157.95,tcp,80,http,amazon/cloudfront,
www.data.gov,52.222.157.95,tcp,443,http,amazon/cloudfront,
www.data.gov,52.222.157.151,tcp,80,http,amazon/cloudfront,
www.data.gov,52.222.157.151,tcp,443,http,amazon/cloudfront,
www.data.gov,52.222.157.159,tcp,80,http,amazon/cloudfront,
www.data.gov,52.222.157.159,tcp,443,http,amazon/cloudfront,
www.data.gov,52.222.157.250,tcp,80,http,amazon/cloudfront,
www.data.gov,52.222.157.250,tcp,443,http,amazon/cloudfront,
www.data.gov,2600:9000:2047:5e00:8:8d7c:cc80:93a1,tcp,80,http,amazon/cloudfront,
www.data.gov,2600:9000:2047:5e00:8:8d7c:cc80:93a1,tcp,443,http,amazon/cloudfront,
www.data.gov,2600:9000:2047:3600:8:8d7c:cc80:93a1,tcp,80,http,amazon/cloudfront,
www.data.gov,2600:9000:2047:3600:8:8d7c:cc80:93a1,tcp,443,http,amazon/cloudfront,
www.data.gov,2600:9000:2047:6800:8:8d7c:cc80:93a1,tcp,80,http,amazon/cloudfront,
www.data.gov,2600:9000:2047:6800:8:8d7c:cc80:93a1,tcp,443,http,amazon/cloudfront,
www.data.gov,2600:9000:2047:8400:8:8d7c:cc80:93a1,tcp,80,http,amazon/cloudfront,
www.data.gov,2600:9000:2047:8400:8:8d7c:cc80:93a1,tcp,443,http,amazon/cloudfront,
www.data.gov,2600:9000:2047:a000:8:8d7c:cc80:93a1,tcp,80,http,amazon/cloudfront,
www.data.gov,2600:9000:2047:a000:8:8d7c:cc80:93a1,tcp,443,http,amazon/cloudfront,
www.data.gov,2600:9000:2047:a800:8:8d7c:cc80:93a1,tcp,80,http,amazon/cloudfront,
www.data.gov,2600:9000:2047:a800:8:8d7c:cc80:93a1,tcp,443,http,amazon/cloudfront,
www.data.gov,2600:9000:2047:be00:8:8d7c:cc80:93a1,tcp,80,http,amazon/cloudfront,
